ts=20:24:25 | fn=TTI | prompt="dog sleeping on a hill" | seed=4444 | cfg=1
ts=20:24:25 | fn=TTI | prompt="dog sleeping on a hill" | seed=2222 | cfg=17
ts=20:24:25 | fn=TTI | prompt="dog sleeping on a hill" | seed=1111 | cfg=5
ts=20:24:25 | fn=TTI | prompt="dog sleeping on a hill" | seed=3333 | cfg=17
ts=20:24:25 | fn=TTI | prompt="dog sleeping on a hill" | seed=1111 | cfg=9
ts=20:24:25 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=9
ts=20:24:25 | fn=TTI | prompt="dog sleeping on a hill" | seed=4444 | cfg=17
ts=20:24:25 | fn=TTI | prompt="dog sleeping on a hill" | seed=1111 | cfg=17
ts=20:24:25 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=13
ts=20:24:26 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=1
ts=20:24:30 | fn=TTI | prompt="dog sleeping on a hill" | seed=5555 | cfg=1
ts=20:24:30 | fn=TTI | prompt="dog sleeping on a hill" | seed=5555 | cfg=9
ts=20:24:30 | fn=TTI | prompt="dog sleeping on a hill" | seed=2222 | cfg=13
ts=20:24:30 | fn=TTI | prompt="dog sleeping on a hill" | seed=2222 | cfg=5
ts=20:24:30 | fn=TTI | prompt="dog sleeping on a hill" | seed=5555 | cfg=21
ts=20:24:30 | fn=TTI | prompt="dog sleeping on a hill" | seed=3333 | cfg=5
ts=20:24:30 | fn=TTI | prompt="dog sleeping on a hill" | seed=1111 | cfg=21
ts=20:24:30 | fn=TTI | prompt="dog sleeping on a hill" | seed=5555 | cfg=13
ts=20:24:31 | fn=TTI | prompt="dog sleeping on a hill" | seed=5555 | cfg=17
ts=20:24:32 | fn=TTI | prompt="dog sleeping on a hill" | seed=4444 | cfg=9
ts=20:24:35 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=5
ts=20:24:35 | fn=TTI | prompt="dog sleeping on a hill" | seed=3333 | cfg=21
ts=20:24:35 | fn=TTI | prompt="dog sleeping on a hill" | seed=4444 | cfg=5
ts=20:24:35 | fn=TTI | prompt="dog sleeping on a hill" | seed=2222 | cfg=21
ts=20:24:36 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=13
ts=20:24:36 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=17
ts=20:24:36 | fn=TTI | prompt="dog sleeping on a hill" | seed=3333 | cfg=9
ts=20:24:39 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=21
ts=20:24:39 | fn=TTI | prompt="dog sleeping on a hill" | seed=4444 | cfg=21
ts=20:24:39 | fn=TTI | prompt="dog sleeping on a hill" | seed=2222 | cfg=1
ts=20:24:41 | fn=TTI | prompt="dog sleeping on a hill" | seed=5555 | cfg=5
ts=20:24:42 | fn=TTI | prompt="dog sleeping on a hill" | seed=1111 | cfg=1
ts=20:24:42 | fn=TTI | prompt="dog sleeping on a hill" | seed=3333 | cfg=13
ts=20:24:43 | fn=TTI | prompt="dog sleeping on a hill" | seed=4444 | cfg=13
ts=20:24:43 | fn=TTI | prompt="dog sleeping on a hill" | seed=1111 | cfg=13
ts=20:24:43 | fn=TTI | prompt="dog sleeping on a hill" | seed=2222 | cfg=9
ts=20:24:44 | fn=TTI | prompt="dog sleeping on a hill" | seed=3333 | cfg=1
ts=20:24:46 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=17
ts=20:24:47 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=1
ts=20:24:47 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=13
ts=20:24:47 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=5
ts=20:24:48 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=9
ts=20:24:48 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=21
ts=20:24:57 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=21
ts=20:24:57 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=17
ts=20:24:57 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=9
ts=20:24:57 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=5
ts=20:24:57 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=13
ts=20:24:57 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=1
ts=20:25:02 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=17
ts=20:25:02 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=1
ts=20:25:02 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=9
ts=20:25:02 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=13
ts=20:25:02 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=21
ts=20:25:02 | fn=TTI | prompt="dog sleeping on a hill" | seed=1234 | cfg=5
ts=20:26:01 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=4444 | cfg=21
ts=20:26:01 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=5555 | cfg=9
ts=20:26:01 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=4444 | cfg=1
ts=20:26:01 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1111 | cfg=1
ts=20:26:01 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1234 | cfg=1
ts=20:26:01 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=3333 | cfg=17
ts=20:26:01 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=5555 | cfg=13
ts=20:26:01 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=4444 | cfg=13
ts=20:26:01 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=3333 | cfg=21
ts=20:26:01 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1111 | cfg=5
ts=20:26:07 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=2222 | cfg=5
ts=20:26:07 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=2222 | cfg=17
ts=20:26:08 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1111 | cfg=17
ts=20:26:08 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1111 | cfg=9
ts=20:26:08 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=4444 | cfg=17
ts=20:26:08 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=5555 | cfg=1
ts=20:26:08 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1234 | cfg=21
ts=20:26:09 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=3333 | cfg=5
ts=20:26:09 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1234 | cfg=5
ts=20:26:10 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=2222 | cfg=9
ts=20:26:15 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1111 | cfg=21
ts=20:26:15 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1234 | cfg=9
ts=20:26:15 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=5555 | cfg=21
ts=20:26:15 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1234 | cfg=17
ts=20:26:15 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=2222 | cfg=21
ts=20:26:15 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1111 | cfg=13
ts=20:26:16 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=3333 | cfg=9
ts=20:26:16 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=5555 | cfg=17
ts=20:26:17 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=2222 | cfg=13
ts=20:26:17 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=4444 | cfg=9
