id,tti,tti task,gpt_list,gpt_list task,list_completion,list_completion task,synonyms,synonyms task,antonyms,antonyms task,alternatives,alternatives task,divergents,divergents task,embellish,embellish task,gpt,gpt task,gpt_list freq,list_completion freq,synonyms freq,antonyms freq,alternatives freq,divergents freq,embellish freq,gpt freq
1,136,56,2,0,1,1,6,6,0,0,1,1,5,3,1,1,0,0,0.0,0.08333333333333333,0.5,0.0,0.08333333333333333,0.25,0.08333333333333333,0.0
5,341,34,2,0,0,0,0,0,0,0,4,4,6,2,11,11,0,0,0.0,0.0,0.0,0.0,0.23529411764705882,0.11764705882352941,0.6470588235294118,0.0
6,444,259,6,2,0,0,3,3,0,0,3,3,8,8,0,0,0,0,0.125,0.0,0.1875,0.0,0.1875,0.5,0.0,0.0
8,516,147,0,0,0,0,1,0,1,0,0,0,0,0,7,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,25,13,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,116,49,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0
12,589,280,0,0,0,0,0,0,0,0,8,8,2,0,3,3,0,0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.2727272727272727,0.0
13,457,396,2,2,0,0,13,11,0,0,2,2,2,1,5,0,0,0,0.125,0.0,0.6875,0.0,0.125,0.0625,0.0,0.0
19,492,203,25,18,2,2,1,1,1,1,1,1,2,2,155,110,0,0,0.13333333333333333,0.014814814814814815,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.014814814814814815,0.8148148148148148,0.0
21,718,213,0,0,8,8,0,0,17,17,1,1,9,0,37,32,0,0,0.0,0.13793103448275862,0.0,0.29310344827586204,0.017241379310344827,0.0,0.5517241379310345,0.0
15,640,335,8,7,10,10,0,0,0,0,2,0,3,0,5,0,0,0,0.4117647058823529,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0
20,263,50,5,2,3,0,1,0,1,0,11,10,7,0,1,0,0,0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
